Date,Close,High,Low,Open,Volume,Stock
08-01-2025,771.1500244,783.9500122,760.0999756,780.9000244,15641490,SBIN.NS
09-01-2025,760.4500122,771.3499756,726.25,771.1500244,15351029,SBIN.NS
10-01-2025,743.25,763.4000244,742.0499878,760.3499756,11779296,SBIN.NS
13-01-2025,729.5,743.9500122,722.5,741.5,10414733,SBIN.NS
14-01-2025,748.1500244,757,732.9500122,732.9500122,11960975,SBIN.NS
15-01-2025,753.7000122,758.9000244,750,753.1500244,7792299,SBIN.NS
16-01-2025,766.2999878,776.7000122,760.4000244,760.4000244,11816079,SBIN.NS
17-01-2025,764.0999756,767.9500122,759.4000244,766.2999878,5766573,SBIN.NS
20-01-2025,779.25,785,767.8499756,769,9198929,SBIN.NS
21-01-2025,759.0499878,784.9000244,756.0499878,784.7999878,13751780,SBIN.NS
22-01-2025,753.4500122,763,738,762,9908339,SBIN.NS
23-01-2025,745.9000244,755.6500244,743.0999756,750,10986405,SBIN.NS
24-01-2025,744.1500244,753.7000122,739,749.9000244,10579213,SBIN.NS
27-01-2025,749.2000122,755.3499756,735.9000244,740,11433353,SBIN.NS
28-01-2025,752.4000244,759.75,745.4000244,757,14140860,SBIN.NS
29-01-2025,758.4500122,760.7999878,749.7999878,753,9251973,SBIN.NS
30-01-2025,762.5999756,765,754.75,758.5499878,11085824,SBIN.NS
31-01-2025,772.9000244,777.5499878,759.5,764.9000244,10083763,SBIN.NS
01-02-2025,766,778.75,752.1500244,774.7999878,9363077,SBIN.NS
03-02-2025,760.9500122,762.7999878,753.1500244,762.7999878,7862190,SBIN.NS
04-02-2025,779.2000122,781.25,765.6500244,767,12020807,SBIN.NS
05-02-2025,766.0499878,782,765,780,13419162,SBIN.NS
06-02-2025,752.25,770.8499756,750.0499878,769,32745391,SBIN.NS
07-02-2025,737.2000122,759.9000244,731.75,759.7999878,37240692,SBIN.NS
10-02-2025,736.7999878,743.9000244,733.4000244,740,12667049,SBIN.NS
11-02-2025,731.0999756,740.1500244,726.5499878,737.4500122,13017060,SBIN.NS
12-02-2025,733.1500244,738.7000122,717.1500244,733.1500244,12697743,SBIN.NS
13-02-2025,727.6500244,737.5,726.1500244,734.4000244,12370571,SBIN.NS
14-02-2025,722.1500244,732.9000244,716.2000122,730.9500122,10417539,SBIN.NS
17-02-2025,727.7000122,728.75,711.5499878,719.0499878,9093600,SBIN.NS
18-02-2025,725.7999878,728.25,717.3499756,727.7000122,8562003,SBIN.NS
19-02-2025,727.2999878,734.8499756,722.0499878,722.0499878,6766606,SBIN.NS
20-02-2025,729.7000122,731.5,723.3499756,724.9000244,7423268,SBIN.NS
21-02-2025,722,731.7000122,720,727.2999878,6571602,SBIN.NS
24-02-2025,716.4000244,719.75,710.5,710.5,6912148,SBIN.NS
25-02-2025,710.9000244,718.9500122,710,718.9500122,8599635,SBIN.NS
27-02-2025,703.9000244,717.7000122,701.0999756,716,12033139,SBIN.NS
28-02-2025,688.7999878,701.3499756,682.5999756,700.9000244,15780609,SBIN.NS
03-03-2025,695.2999878,697.4000244,680,690.1500244,10598479,SBIN.NS
04-03-2025,716.0499878,718.4500122,692.0999756,693,14386214,SBIN.NS
05-03-2025,730.3499756,731.2999878,717,717.5499878,10409805,SBIN.NS
06-03-2025,732.0499878,736.75,727,736,10928847,SBIN.NS
07-03-2025,732.75,734.8499756,728,732.0499878,7246729,SBIN.NS
10-03-2025,728.9000244,738.5,726.5999756,732.75,7400109,SBIN.NS
11-03-2025,729.8499756,734.0499878,722.7000122,724.9000244,5538789,SBIN.NS
12-03-2025,723.0499878,737,719.0499878,730.5999756,5547762,SBIN.NS
13-03-2025,727.8499756,731.4500122,724.5,725.9000244,5908337,SBIN.NS
17-03-2025,723.1500244,731.25,722.2999878,728.9000244,5149563,SBIN.NS
18-03-2025,723.1500244,723.1500244,723.1500244,723.1500244,0,SBIN.NS
19-03-2025,745.0999756,749.2999878,739.0999756,739.5999756,7604850,SBIN.NS
20-03-2025,749.5499878,752.7000122,744.2000122,748,6963197,SBIN.NS
21-03-2025,753.2000122,755.5999756,747,749.9500122,9577327,SBIN.NS
24-03-2025,780.7999878,782.9500122,755.0999756,758,12095064,SBIN.NS
25-03-2025,772.8499756,786,769.2000122,783.9000244,15190143,SBIN.NS
26-03-2025,764,776.0499878,761.4500122,772,7711852,SBIN.NS
27-03-2025,772.2999878,775.7999878,760.5,763.7999878,15648616,SBIN.NS
28-03-2025,771.5,778.5999756,767,772.0999756,7628185,SBIN.NS
01-04-2024,1450.690186,1453.945778,1435.990887,1438.358579,12599785,HDFCBANK.NS
02-04-2024,1460.210205,1474.712126,1443.537849,1445.412277,20612723,HDFCBANK.NS
03-04-2024,1462.331299,1475.501431,1451.578114,1452.268635,22792193,HDFCBANK.NS
